Registration Number,Action ID,Builder,Promoter Name,Project Name,District,Taluka,Project Type,Approved On,Proposed Completion Date,Proposed Completion Date At Registration,Project Address,Latitude,Longitude,Total Units,Has Quarterly Update,Units Booked (Q3_FY25-26),Units Available (Q3_FY25-26),Units Booked (Q4_FY25-26),Units Available (Q4_FY25-26),Units Booked (Q1_FY26-27),Units Available (Q1_FY26-27)
PRM/KA/RERA/1251/446/PR/171015/000784,1011,Vaswani Whitefield Projects Pvt Ltd,Vaswani Whitefield Projects Pvt Ltd,Vaswani Exquisite,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2024-09-30,2021-12-31,"ITPL Main Road, Next to Zuri hotel, Hoodi",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171125/000783,1014,Sanvi Properties,Sanvi Properties,SANVI SANKALPAM,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-11-25,2018-12-31,2018-12-31,"Sy.97/1, Nagondanahalli village, Whitefield, K R Puram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/170918/000782,1015,Paraag Constructions and Developers,Paraag Constructions and Developers,Century Renata,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-09-18,2019-03-31,2018-03-31,"Century Renata, 5/1, Rajaram Mohan Roy Raod, Sampangiram Nagar, Bengaluru",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/170915/000765,1016,Rida Builders & Promoters Private Limited,Rida Builders & Promoters Private Limited,Skylark Richmond,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-09-15,2021-12-30,2021-03-31,"Property No. 27, (Old No. 40) , Richmond Road,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/309/PR/171014/000771,1018,Arvind SmartSpaces,Arvind SmartSpaces Limited,Arvind Skylands,Bengaluru Urban,Bengaluru North,Residential/Group Housing,2017-10-14,2021-11-28,2021-02-28,"Survey no 40, 45/2B, 45/2C, Shivanahalli Village , , Yelahankahobli, Bangalore North Taluk",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171014/000891,1019,JANA JEEVA ESTATES PVT LD,JANA JEEVA ESTATES PVT LD,JANAJEEVA ORCHID,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-14,2017-06-30,2017-06-30,"SY NO 54, HALEHALLI, BEEDARAHALLI HOBLI",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171014/000777,1020,Reddy Structures,REDDY STRUCTURES PRIVATE LIMITED,MAHAVEER TURQUOISE,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-14,2022-09-30,2020-12-31,"MAHAVEER TURQUOISE, SY. NO. 42/1, BASAPURA VILLAGE, BEGUR HOBLI",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171023/000792,1022,Aryav Constructions,Aryav Constructions,Aryav Crosswinds,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-23,2019-12-31,2019-12-31,"Sy.No88/5, Raghavendra Circle-Jayanti Nagar circle Road, Horamavu, Bangalore",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171013/000819,1025,Aswani Properties,Aswani Properties,Aswani Aaeesha A Wing,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-13,2019-11-30,2019-11-30,"ASWANI AAEESHA, Survey No. 23, Doddanagamangala, Near Veerabhadraswamy Temple Electronic City Phase II",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/181006/002022,1027,B chiranjeevi,B chiranjeevi,Hilife Apartments,Bengaluru Urban,Bengaluru South,Mixed Development,2018-10-06,2019-10-31,2018-10-31,"86/2 Sarjapur road, Dodda kannahalli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171015/000794,1028,Vista Spaces LLP,Vista Spaces LLP,Vista 450,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-15,2018-10-29,2018-10-29,"3/4, 11th Main road, RMV Extension, Sadashivnagar",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000781,1029,Ozone Elegant Developers LLP,Ozone Elegant Developers LLP,WF48,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2025-09-30,2023-12-31,"Sy no. 61/1, 61/2, & 61/3, Mahadevpura Village, KR Puram Hobli, Bangalore East Taluk",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171014/000797,1032,Assetz,Assetz Investments & Holdings LLP,HERE AND NOW,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-14,2022-02-28,2020-11-30,"HERE & NOW, Sy No 84/2 Rachenahalli Village, KR Puram Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171115/000790,1033,SSVR BUILDERS,ssvr builders,ssvr tridax,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-11-15,2018-02-02,2018-02-02,"195/1 balagere road, near varthur police station",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000786,1035,G.SESHA RAO,G.SESHA RAO,RAVOOS NANDAN,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2017-07-28,2017-07-28,"92/1 K Dommasandra,, Bidarahalli Hobli, Bangalore East Taluk",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171015/000787,1036,SRI SUMERU REALTY PRIVATE LIMITED,SRI SUMERU REALTY PRIVATE LIMITED,SURATARU,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-15,2018-07-31,2018-07-31,"SY NO. 165/1, 165/6, 165/15, 165/20 & 165/21 OF KAGGALIPURA VILLAGE,, UTTARAHALLI HOBLI, BANGALORE SOUTH TALUK,",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/308/PR/171016/000800,1037,ICON INFRA SHELTERS INDIA PVT LTD,ICON INFRA SHELTERS INDIA PVT. LTD.,Icon Sanctuary,Bengaluru Urban,Anekal,Plotted Development,2017-10-16,2018-12-31,2018-12-31,"Thindlu Village, Sarjapura Hobli, Anekal Taluk",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171030/000989,1039,LVS Builders and Developers,LVS Builders and Developers,LVS GARDENIA Phase-2,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-30,2019-03-31,2018-05-31,"Sy.No.24/2, Halehalli, , Bidarahalli Hobli",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/310/PR/171019/000788,1040,Radiant,RADIANT STRUCTURES PVT LTD,RADIANT EVOQ,Bengaluru Urban,Bengaluru South,Residential/Group Housing,2017-10-19,2020-12-30,2020-03-31,"KODICHIKKANAHALLI, BEGUR",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171015/000804,1041,ECO LIFE DEVELOPERS,ECO LIFE DEVELOPERS,ELEMENTS OF NATURE,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-15,2020-02-15,2019-02-15,"SY NO 30, VARTHUR PANATHUR MAIN ROAD, BALAGERE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171028/000807,1043,RED CORAL PROPERTIES,RED CORAL PROPERTIES,MAHAVEER TRANQUIL,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-28,2017-12-31,2017-12-31,"MAHAVEER TRANQUIL, SY. NO. 71, NELLURAHALLI VILLAGE, WHITEFIELD SUB DIVISION",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171014/000798,1047,R.J. RISHIKARAN PROJECTS PRIVATE LIMITED,R.J. RISHIKARAN PROJECTS PRIVATE LIMITED,R J LAKE GARDENIA,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-14,2026-03-15,2019-07-31,"BBMP Khata No. 272/219(Survey No.40/1), Bhattarahalli Village, Bidarahalli Hobli,",NA,NA,171,Yes,60,111,60,111,NA,NA
PRM/KA/RERA/1251/309/PR/171222/000832,1048,SAI AASHA DEVELOPERS,SAI AASHA DEVELOPERS,SAINATH ROYAL PARK,Bengaluru Urban,Bengaluru North,Plotted Development,2017-12-22,2019-03-31,2018-03-31,"SY NO 54/3 MATTAHALLI VILLAGE DASANPURA HOBLI BANGALORE NORTH TQ, BANGALORE",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
PRM/KA/RERA/1251/446/PR/171019/000802,1050,Radiant,RADIANT STRUCTURES PVT LTD,RADIANT ROYAL WOODS,Bengaluru Urban,Bengaluru East,Residential/Group Housing,2017-10-19,2020-12-30,2020-03-31,"Haggadur, K R Puram",NA,NA,NA,No,NA,NA,NA,NA,NA,NA
